color_name,
Tan,
Fuchsia,
Orchid,
Aquamarine,
Orange,
Emerald,
Amaranth,
Pear,
Beige,
Black,
Salmon,
Amethyst,
Chocolate,
White,
Crimson,
Brown,
Lilac,
Amber,
Taupe,
Copper
