product_color
025 Sky Line Pink
027 Violet Frenzy
028 Cherry Blossom
044 Bare Affair
045 Naughty Plum
046 Bombshell Red
130 Rose Velvet
245 Smoky Rose
457 Wild Orchid
460 Blushing Mauve
463 Sassy Mauve
465 Plumalicious
657 Fuchsia Fusion
660 Berry Haute
663 Va Va Violet
668 Primrose
671 Mink
674 Coralberry
720 Fire Ice
725 Love That Red
